"run","tags","duration","train_loss","validation_loss","hparams.l1","hparams.latent_dim","hparams.sparsity","hparams.subject"
"high_sparsity_32_subj8","[object Object]","4min 1sec","0.48331243","0.49793395","0.1","32","0.85","8"
"high_sparsity_32_subj7","[object Object]","5min 20sec","0.42223138","0.45257726","0.1","32","0.85","7"
"high_sparsity_32_subj6","[object Object]","5min 31sec","0.41443688","0.43035457","0.1","32","0.85","6"
"high_sparsity_32_subj5","[object Object]","7min 40sec","0.33967704","0.34906411","0.1","32","0.85","5"
"high_sparsity_32_subj4","[object Object]","4min 17sec","0.46583366","0.47351864","0.1","32","0.85","4"
"high_sparsity_32_subj3","[object Object]","3min 50sec","0.48851404","0.52245653","0.1","32","0.85","3"
"high_sparsity_32_subj2","[object Object]","5min 13sec","0.42751193","0.45185241","0.1","32","0.85","2"
"high_sparsity_32_subj1","[object Object]","3min 36sec","0.39905891","0.40554658","0.1","32","0.85","1"
"high_sparsity_64_subj8","[object Object]","4min 10sec","0.41371328","0.43348619","0.1","64","0.85","8"
"high_sparsity_64_subj7","[object Object]","5min 14sec","0.3327685","0.36295256","0.1","64","0.85","7"
"high_sparsity_64_subj6","[object Object]","5min 13sec","0.36214426","0.3820537","0.1","64","0.85","6"
"high_sparsity_64_subj5","[object Object]","7min 1sec","0.28997797","0.30181915","0.1","64","0.85","5"
"high_sparsity_64_subj4","[object Object]","5min 1sec","0.3687973","0.38640153","0.1","64","0.85","4"
"high_sparsity_64_subj3","[object Object]","3min 31sec","0.42057377","0.44735092","0.1","64","0.85","3"
"high_sparsity_64_subj2","[object Object]","4min 57sec","0.3585268","0.37890923","0.1","64","0.85","2"
"high_sparsity_64_subj1","[object Object]","3min 37sec","0.3273086","0.33183286","0.1","64","0.85","1"
"low_sparsity_32_subj8","[object Object]","4min 8sec","0.36012515","0.38156551","0.01","32","0.8","8"
"low_sparsity_32_subj7","[object Object]","6min 20sec","0.29135668","0.31901965","0.01","32","0.8","7"
"low_sparsity_32_subj6","[object Object]","5min 56sec","0.31980252","0.34101492","0.01","32","0.8","6"
"low_sparsity_32_subj5","[object Object]","7min 27sec","0.25519794","0.26697513","0.01","32","0.8","5"
"low_sparsity_32_subj4","[object Object]","4min 40sec","0.34277174","0.36269367","0.01","32","0.8","4"
"low_sparsity_32_subj3","[object Object]","3min 29sec","0.39974847","0.42962539","0.01","32","0.8","3"
"low_sparsity_32_subj2","[object Object]","5min 6sec","0.33535403","0.35599726","0.01","32","0.8","2"
"low_sparsity_32_subj1","[object Object]","3min 42sec","0.31253582","0.32040334","0.01","32","0.8","1"
"low_sparsity_64_subj8","[object Object]","13min 3sec","0.28927311","0.33038986","0.01","64","0.8","8"
"low_sparsity_64_subj7","[object Object]","12min 42sec","0.24352734","0.27864283","0.01","64","0.8","7"
"low_sparsity_64_subj6","[object Object]","5min 14sec","0.25997344","0.29397655","0.01","64","0.8","6"
"low_sparsity_64_subj5","[object Object]","7min 12sec","0.20906107","0.22828834","0.01","64","0.8","5"
"low_sparsity_64_subj4","[object Object]","4min 27sec","0.2854057","0.32455292","0.01","64","0.8","4"
"low_sparsity_64_subj3","[object Object]","3min 30sec","0.33571839","0.38521156","0.01","64","0.8","3"
"low_sparsity_64_subj2","[object Object]","4min 53sec","0.28820994","0.3159807","0.01","64","0.8","2"
"low_sparsity_64_subj1","[object Object]","4min 4sec","0.25599998","0.26994696","0.01","64","0.8","1"
